CRS Subject,CRS Course Number,Academic Year,Academic Term,# of Sections,Number Enrolled,Enrollment Ratio,Ratio Pred. from Lin. Reg. Using All Data,Ratio Pred. from Lin. Reg. Using 3 Rcnt. Yrs.,Ratio Pred. from Avg. Using All Data,Ratio Pred. from Avg. Using 3 Rcnt. Yrs.,Ratio Pred. from Avg. Using Most Rcnt. Yr.
,,2015-2016,Spring,1,82,0.021,0.016,0.016,0.022,0.022,0.018
,3301,2012-2013,Fall,1,26,0.006,0,0,0,0,0
,,2013-2014,Fall,2,44,0.01,0,0,0,0,0
,,2014-2015,Fall,2,50,0.012,0,0,0,0,0
,,2015-2016,Fall,2,34,0.008,0,0,0,0,0
,,2016-2017,Fall,2,42,0.01,0.011,0.008,0.009,0.01,0.008
,3302,2012-2013,Spring,1,22,0.005,0,0,0,0,0
,,2013-2014,Spring,2,39,0.01,0,0,0,0,0
,,2014-2015,Spring,2,36,0.01,0,0,0,0,0
,,2015-2016,Spring,2,33,0.009,0,0,0,0,0
,,2016-2017,Spring,1,25,0.007,0.011,0.008,0.008,0.009,0.009
,3341,2012-2013,Fall,1,16,0.003,0,0,0,0,0
,,2016-2017,Fall,1,20,0.005,0,0,0,0,0
,,,Spring,1,26,0.007,0,0,0,0,0
,,2017-2018,Fall,1,25,0.006,-1,-1,-1,-1,-1
,,,Spring,1,34,0.009,-1,-1,-1,-1,-1
,3372,2012-2013,Spring,1,21,0.005,0,0,0,0,0
,,2013-2014,Spring,1,28,0.007,0,0,0,0,0
,,2014-2015,Spring,1,25,0.007,0,0,0,0,0
,,2015-2016,Spring,1,24,0.006,0,0,0,0,0
,,2016-2017,Spring,1,21,0.006,0.007,0.006,0.006,0.007,0.006
,4401,2012-2013,Spring,1,16,0.004,0,0,0,0,0
,,2016-2017,Spring,1,15,0.004,-1,-1,-1,-1,-1
ARCH,1000,2013-2014,Fall,1,17,0.004,0,0,0,0,0
,,2014-2015,Fall,2,28,0.007,0,0,0,0,0
,,2015-2016,Fall,2,25,0.006,0,0,0,0,0
,,2016-2017,Fall,2,37,0.009,0,0,0,0,0
,,,Spring,1,18,0.005,0,0,0,0,0
,,2017-2018,Fall,2,30,0.008,0,0,0,0,0
,,,Spring,1,15,0.004,0,0,0,0,0
,,2018-2019,Fall,2,29,0.007,0,0,0,0,0
,,,Spring,1,11,0.003,0,0,0,0,0
,,2019-2020,Fall,2,31,0.008,0,0,0,0,0
,,,Spring,1,13,0.004,0,0,0,0,0
,,2020-2021,Fall,2,28,0.007,0,0,0,0,0
,,,Spring,1,12,0.004,0,0,0,0,0
,,2021-2022,Fall,2,24,0.007,0,0,0,0,0
,,,Spring,1,18,0.005,0,0,0,0,0
,,2022-2023,Fall,2,29,0.008,0,0,0,0,0
,,,Spring,1,15,0.005,0,0,0,0,0
,,2023-2024,Fall,2,27,0.008,0.008,0.008,0.007,0.007,0.008
,,,Spring,1,19,0.007,0.005,0.006,0.004,0.005,0.005
,1050,2013-2014,Spring,1,16,0.004,0,0,0,0,0
,,2014-2015,Spring,1,20,0.005,0,0,0,0,0
,,2015-2016,Spring,1,20,0.005,0,0,0,0,0
,,2016-2017,Spring,1,23,0.006,0,0,0,0,0
,,2017-2018,Spring,1,26,0.007,0,0,0,0,0
,,2018-2019,Spring,1,17,0.005,0,0,0,0,0
,,2019-2020,Spring,2,20,0.006,0,0,0,0,0
,,2020-2021,Spring,2,18,0.005,0,0,0,0,0
,,2021-2022,Spring,2,22,0.007,0,0,0,0,0
,,2022-2023,Spring,2,28,0.009,0,0,0,0,0
,,2023-2024,Spring,2,26,0.009,0.008,0.011,0.006,0.007,0.009
,1130,2012-2013,Fall,1,30,0.006,-1,-1,-1,-1,-1
,1160,2012-2013,Spring,1,20,0.005,-1,-1,-1,-1,-1
,1199,2021-2022,Fall,1,11,0.003,0,0,0,0,0
,,2022-2023,Fall,1,14,0.004,0,0,0,0,0
,,2023-2024,Fall,1,1,0,-1,-1,-1,-1,-1
,,,Spring,1,1,0,-1,-1,-1,-1,-1
,2000,2013-2014,Fall,1,16,0.004,0,0,0,0,0
,,2014-2015,Fall,1,17,0.004,0,0,0,0,0
,,2015-2016,Fall,1,11,0.003,0,0,0,0,0
,,2016-2017,Fall,1,14,0.003,0,0,0,0,0
,,2017-2018,Fall,1,17,0.004,0,0,0,0,0
,,2018-2019,Fall,2,20,0.005,0,0,0,0,0
,,2019-2020,Fall,1,11,0.003,0,0,0,0,0
,,2020-2021,Fall,1,15,0.004,0,0,0,0,0
,,2021-2022,Fall,1,13,0.004,0,0,0,0,0
,,2022-2023,Fall,1,18,0.005,0,0,0,0,0
,,2023-2024,Fall,2,24,0.007,0.004,0.005,0.004,0.004,0.005
,2010,2014-2015,Fall,1,18,0.004,0,0,0,0,0
,,2015-2016,Fall,1,16,0.004,0,0,0,0,0
,,2016-2017,Fall,1,18,0.004,0,0,0,0,0
,,2017-2018,Fall,1,32,0.008,0,0,0,0,0
,,2018-2019,Fall,1,15,0.004,0,0,0,0,0
,,2019-2020,Fall,1,11,0.003,0,0,0,0,0
,,2020-2021,Fall,1,17,0.004,0,0,0,0,0
,,2021-2022,Fall,1,15,0.004,0,0,0,0,0
,,2022-2023,Fall,1,14,0.004,0,0,0,0,0
,,2023-2024,Fall,1,28,0.008,0.004,0.004,0.004,0.004,0.004
,2020,2014-2015,Spring,1,16,0.004,0,0,0,0,0
,,2015-2016,Spring,1,9,0.002,0,0,0,0,0
,,2016-2017,Spring,1,14,0.004,0,0,0,0,0
,,2017-2018,Spring,1,20,0.005,0,0,0,0,0
,,2018-2019,Spring,1,15,0.004,0,0,0,0,0
,,2019-2020,Spring,2,9,0.003,0,0,0,0,0
,,2020-2021,Spring,1,15,0.004,0,0,0,0,0
,,2021-2022,Spring,1,14,0.004,0,0,0,0,0
,,2022-2023,Spring,1,12,0.004,0,0,0,0,0
,,2023-2024,Spring,1,23,0.008,0.004,0.004,0.004,0.004,0.004
,2050,2013-2014,Spring,1,16,0.004,0,0,0,0,0
,,2014-2015,Spring,1,16,0.004,0,0,0,0,0
,,2015-2016,Spring,1,9,0.002,0,0,0,0,0
,,2016-2017,Spring,1,10,0.003,0,0,0,0,0
,,2017-2018,Spring,1,13,0.004,0,0,0,0,0
,,2018-2019,Spring,1,15,0.004,0,0,0,0,0
,,2019-2020,Spring,1,11,0.003,0,0,0,0,0
,,2020-2021,Spring,1,13,0.004,0,0,0,0,0
,,2021-2022,Spring,1,11,0.003,0,0,0,0,0
,,2022-2023,Spring,1,17,0.005,0,0,0,0,0
,,2023-2024,Spring,2,20,0.007,0.004,0.006,0.004,0.004,0.005
,2060,2013-2014,Fall,1,13,0.003,0,0,0,0,0
,,2014-2015,Fall,1,15,0.004,0,0,0,0,0
,,2015-2016,Fall,1,11,0.003,0,0,0,0,0
,,2016-2017,Fall,1,14,0.003,0,0,0,0,0
,,2017-2018,Fall,1,18,0.005,0,0,0,0,0
,,2018-2019,Fall,2,19,0.005,0,0,0,0,0
,,2019-2020,Fall,1,11,0.003,0,0,0,0,0
,,2020-2021,Fall,1,15,0.004,0,0,0,0,0
,,2021-2022,Fall,1,14,0.004,0,0,0,0,0
,,2022-2023,Fall,1,18,0.005,0,0,0,0,0
,,2023-2024,Fall,2,25,0.007,0.005,0.005,0.004,0.004,0.005
,2200,2012-2013,Spring,2,21,0.005,-1,-1,-1,-1,-1
,2210,2012-2013,Fall,2,14,0.003,-1,-1,-1,-1,-1
,2225,2012-2013,Spring,1,19,0.004,-1,-1,-1,-1,-1
,2250,2012-2013,Spring,1,15,0.004,-1,-1,-1,-1,-1
,3000,2013-2014,Fall,1,10,0.002,0,0,0,0,0
,,2014-2015,Fall,1,15,0.004,0,0,0,0,0
,,2015-2016,Fall,1,13,0.003,0,0,0,0,0
,,2016-2017,Fall,1,8,0.002,0,0,0,0,0
,,2017-2018,Fall,2,9,0.002,0,0,0,0,0
,,2018-2019,Fall,1,12,0.003,0,0,0,0,0
,,2019-2020,Fall,2,15,0.004,0,0,0,0,0
,,2020-2021,Fall,2,10,0.003,0,0,0,0,0
,,2021-2022,Fall,1,11,0.003,0,0,0,0,0
,,2022-2023,Fall,1,10,0.003,0,0,0,0,0
,,2023-2024,Fall,1,17,0.005,0.003,0.003,0.003,0.003,0.003
,3001,2017-2018,Fall,1,3,0.001,0,0,0,0,0
,,,Spring,1,2,0.001,0,0,0,0,0
,,2018-2019,Fall,1,2,0.001,0,0,0,0,0
,,,Spring,1,3,0.001,0,0,0,0,0
,,2019-2020,Fall,1,3,0.001,0,0,0,0,0
,,,Spring,1,2,0.001,0,0,0,0,0
,,2020-2021,Fall,1,4,0.001,0,0,0,0,0
,,,Spring,1,5,0.001,0,0,0,0,0
,,2021-2022,Fall,1,4,0.001,0,0,0,0,0
,,,Spring,1,2,0.001,0.002,0.002,0.001,0.001,0.001
,,2022-2023,Fall,1,1,0,0.001,0.001,0.001,0.001,0.001
,3010,2016-2017,Spring,1,9,0.002,0,0,0,0,0
,,2017-2018,Spring,1,5,0.001,0,0,0,0,0
,,2018-2019,Spring,1,9,0.003,0,0,0,0,0
,,2020-2021,Spring,1,8,0.002,0,0,0,0,0
,,2021-2022,Spring,1,5,0.002,0.002,0.003,0.002,0.002,0.002
,3050,2013-2014,Fall,1,1,0,-1,-1,-1,-1,-1
,,,Spring,1,9,0.002,0,0,0,0,0
,,2014-2015,Spring,1,15,0.004,0,0,0,0,0
,,2015-2016,Spring,1,13,0.003,0,0,0,0,0
,,2016-2017,Spring,1,9,0.002,0,0,0,0,0
,,2017-2018,Spring,1,8,0.002,0,0,0,0,0
,,2018-2019,Spring,1,12,0.003,0,0,0,0,0
,,2019-2020,Spring,1,13,0.004,0,0,0,0,0
,,2020-2021,Spring,1,8,0.002,0,0,0,0,0
,,2021-2022,Spring,1,10,0.003,0,0,0,0,0
,,2022-2023,Spring,1,11,0.004,0,0,0,0,0
,,2023-2024,Spring,1,16,0.005,0.003,0.004,0.003,0.003,0.004
,3060,2017-2018,Fall,1,8,0.002,0,0,0,0,0
,,2018-2019,Fall,1,6,0.002,0,0,0,0,0
,,2019-2020,Fall,1,9,0.002,0,0,0,0,0
,,2020-2021,Fall,1,9,0.002,0,0,0,0,0
,,2021-2022,Fall,1,8,0.002,0.003,0.003,0.002,0.002,0.002
,,2023-2024,Spring,1,15,0.005,-1,-1,-1,-1,-1
,3080,2020-2021,Spring,1,2,0.001,-1,-1,-1,-1,-1
,3085,2016-2017,Spring,1,11,0.003,0,0,0,0,0
,,2017-2018,Spring,2,7,0.002,0,0,0,0,0
,,2018-2019,Spring,2,6,0.002,0,0,0,0,0
,,2019-2020,Spring,2,11,0.003,0,0,0,0,0
,,2023-2024,Spring,1,5,0.002,0.003,0.004,0.002,0.002,0.003
,3300,2012-2013,Fall,1,16,0.003,-1,-1,-1,-1,-1
,3310,2012-2013,Fall,1,9,0.002,-1,-1,-1,-1,-1
,3320,2012-2013,Fall,1,16,0.003,-1,-1,-1,-1,-1
,3350,2012-2013,Spring,1,16,0.004,-1,-1,-1,-1,-1
,4000,2013-2014,Fall,1,14,0.003,0,0,0,0,0
,,2014-2015,Fall,1,9,0.002,0,0,0,0,0
,,2015-2016,Fall,1,14,0.003,0,0,0,0,0
,,2016-2017,Fall,1,14,0.003,0,0,0,0,0
,,2017-2018,Fall,1,8,0.002,0,0,0,0,0
,,2018-2019,Fall,1,8,0.002,0,0,0,0,0
,,2019-2020,Fall,1,13,0.003,0,0,0,0,0
,,2020-2021,Fall,1,13,0.003,0,0,0,0,0
,,2021-2022,Fall,1,9,0.002,0,0,0,0,0
,,2022-2023,Fall,1,10,0.003,0,0,0,0,0
,,2023-2024,Fall,1,10,0.003,0.003,0.002,0.003,0.003,0.003
,4001,2018-2019,Spring,1,1,0,0,0,0,0,0
,,2019-2020,Fall,1,1,0,-1,-1,-1,-1,-1
,,,Spring,1,3,0.001,0,0,0,0,0
,,2021-2022,Spring,1,3,0.001,-1,-1,-1,-1,-1
,4030,2013-2014,Spring,1,14,0.003,0,0,0,0,0
,,2014-2015,Spring,1,7,0.002,0,0,0,0,0
,,2015-2016,Spring,1,11,0.003,0,0,0,0,0
,,2016-2017,Spring,1,13,0.003,0,0,0,0,0
,,2017-2018,Spring,1,9,0.002,0,0,0,0,0
,,2018-2019,Spring,1,7,0.002,0,0,0,0,0
,,2019-2020,Spring,1,11,0.003,0,0,0,0,0
,,2020-2021,Spring,1,13,0.004,0,0,0,0,0
,,2021-2022,Spring,1,9,0.003,0,0,0,0,0
,,2022-2023,Spring,1,10,0.003,0,0,0,0,0
,,2023-2024,Spring,1,10,0.003,0.003,0.003,0.003,0.003,0.003
,4050,2013-2014,Spring,1,14,0.003,0,0,0,0,0
,,2014-2015,Spring,1,7,0.002,0,0,0,0,0
,,2015-2016,Spring,1,11,0.003,0,0,0,0,0
,,2016-2017,Spring,1,13,0.003,0,0,0,0,0
,,2017-2018,Spring,1,8,0.002,0,0,0,0,0
,,2018-2019,Spring,1,7,0.002,0,0,0,0,0
,,2019-2020,Spring,1,11,0.003,0,0,0,0,0
,,2020-2021,Spring,1,13,0.004,0,0,0,0,0
,,2021-2022,Spring,1,9,0.003,0,0,0,0,0
,,2022-2023,Spring,1,10,0.003,0,0,0,0,0
,,2023-2024,Spring,1,10,0.003,0.003,0.003,0.003,0.003,0.003
,4060,2013-2014,Fall,1,14,0.003,0,0,0,0,0
,,2014-2015,Fall,1,8,0.002,0,0,0,0,0
,,2015-2016,Fall,1,14,0.003,0,0,0,0,0
,,2016-2017,Fall,1,14,0.003,0,0,0,0,0
,,2017-2018,Fall,1,8,0.002,0,0,0,0,0
,,2018-2019,Fall,1,8,0.002,0,0,0,0,0
,,2019-2020,Fall,1,12,0.003,0,0,0,0,0
,,2020-2021,Fall,1,13,0.003,0,0,0,0,0
,,2021-2022,Fall,1,9,0.002,0,0,0,0,0
,,2022-2023,Fall,1,10,0.003,0,0,0,0,0
,,2023-2024,Fall,1,10,0.003,0.003,0.002,0.003,0.003,0.003
,4080,2019-2020,Fall,1,1,0,-1,-1,-1,-1,-1
,4420,2012-2013,Spring,1,16,0.004,-1,-1,-1,-1,-1
,4430,2012-2013,Spring,1,9,0.002,-1,-1,-1,-1,-1
,4450,2012-2013,Fall,1,9,0.002,-1,-1,-1,-1,-1
,4460,2012-2013,Spring,1,9,0.002,-1,-1,-1,-1,-1
,5500,2014-2015,Fall,1,2,0,0,0,0,0,0
,,2015-2016,Fall,1,2,0,0,0,0,0,0
,,2016-2017,Fall,1,4,0.001,0,0,0,0,0
,,2017-2018,Fall,1,2,0.001,0,0,0,0,0
,,2018-2019,Fall,1,1,0,0,0,0,0,0
,,2019-2020,Fall,1,2,0.001,0,0,0,0,0
,,2020-2021,Fall,1,3,0.001,0,0,0,0,0
,,2021-2022,Fall,1,5,0.001,0,0,0,0,0
,,2022-2023,Fall,1,7,0.002,0,0,0,0,0
,,2023-2024,Fall,1,3,0.001,0.002,0.003,0.001,0.001,0.002
,5501,2015-2016,Fall,1,1,0,0,0,0,0,0
,,2016-2017,Fall,1,2,0,0,0,0,0,0
,,2017-2018,Fall,1,1,0,0,0,0,0,0
,,2018-2019,Fall,1,1,0,0,0,0,0,0
,,2020-2021,Fall,1,3,0.001,0,0,0,0,0
,,2021-2022,Fall,1,5,0.001,0,0,0,0,0
,,2022-2023,Fall,1,7,0.002,0,0,0,0,0
,,2023-2024,Fall,1,6,0.002,0.002,0.003,0.001,0.001,0.002
,5502,2015-2016,Spring,1,1,0,0,0,0,0,0
,,2017-2018,Spring,1,1,0,0,0,0,0,0
,,2018-2019,Spring,1,1,0,0,0,0,0,0
,,2020-2021,Spring,1,3,0.001,0,0,0,0,0
,,2021-2022,Spring,1,2,0.001,0,0,0,0,0
,,2022-2023,Spring,1,4,0.001,0,0,0,0,0
,,2023-2024,Spring,1,1,0,0.001,0.001,0.001,0.001,0.001
,5510,2014-2015,Fall,1,2,0,0,0,0,0,0
,,2015-2016,Fall,1,2,0,0,0,0,0,0
,,2016-2017,Fall,1,4,0.001,0,0,0,0,0
,,2017-2018,Fall,1,2,0.001,0,0,0,0,0
,,2018-2019,Fall,1,1,0,0,0,0,0,0
,,2019-2020,Fall,1,2,0.001,0,0,0,0,0
,,2020-2021,Fall,1,3,0.001,0,0,0,0,0
,,2021-2022,Fall,1,5,0.001,0,0,0,0,0
,,2022-2023,Fall,1,7,0.002,0,0,0,0,0
,,2023-2024,Fall,1,3,0.001,0.002,0.003,0.001,0.001,0.002
,5540,2014-2015,Fall,1,2,0,0,0,0,0,0
,,2015-2016,Fall,1,2,0,0,0,0,0,0
,,2016-2017,Fall,1,3,0.001,0,0,0,0,0
,,2017-2018,Fall,1,2,0.001,0,0,0,0,0
,,2019-2020,Fall,1,3,0.001,0,0,0,0,0
